created,text
2021-12-02 12:18:48,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:18:47,Earthquake track video image teaser later PLEASE lol
2021-12-02 12:18:46,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:18:41,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:18:35,"Quake info: Minor mag. 0.5 earthquake - 1km ENE of The Geysers, CA, on Thursday, Dec 2, 2021 3:49 am (GMT -8) - Vol… https://t.co/DHUKcm3CjV"
2021-12-02 12:18:16,@IvoryHecker I remember a big earthquake when I was in high school. They locked us in the football field for a few… https://t.co/6QEEGImNZJ
2021-12-02 12:17:37,"Whoa! Did you feel that #quake? UK Earthquake alert : M  0.7 :, Mon, 29 Nov 2021 09:30:30 https://t.co/DIj8Avc58T"
2021-12-02 12:17:36,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:17:26,"RT @ChileAlertaApp: New #Earthquake. 🌎
4.9 (Mb) - Sur de Islas Sandwich .
2021/12/01 20:20:29 UTC.
App: https://t.co/RblVNxZYn8
#IslasSandw…"
2021-12-02 12:17:20,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:17:05,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:15:57,"Big one earthquake soon in Alaska to Hawaii within..
Big alert soon."
2021-12-02 12:15:56,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:15:47,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:15:22,"1.30 magnitude earthquake occurred at N Wild Horse Spring, Coleville, CA 96107, United States on 2021-12-02 11:58:0… https://t.co/ZF2NoqVAmY"
2021-12-02 12:15:06,"2.07 magnitude earthquake occurred at San Benito, CA, United States on 2021-12-02 11:58:50 UTC
Map:… https://t.co/dsshGSvt4N"
2021-12-02 12:14:56,"RT @ChileAlertaApp: New #Earthquake. 🌎
4.9 (Mb) - Sur de Islas Sandwich .
2021/12/01 20:20:29 UTC.
App: https://t.co/RblVNxZYn8
#IslasSandw…"
2021-12-02 12:14:55,"RT @ChileAlertaApp: New #Earthquake. 🌎
4.9 (Mb) - Sur de Islas Sandwich .
2021/12/01 20:20:29 UTC.
App: https://t.co/RblVNxZYn8
#IslasSandw…"
2021-12-02 12:14:50,"1.32 magnitude earthquake occurred at N Ramona Expy, San Jacinto, CA 92583, United States on 2021-12-02 12:07:42 UT… https://t.co/NJQTCO9Ugc"
2021-12-02 12:14:31,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:14:22,"New #Earthquake. 🌎
4.9 (Mb) - Sur de Islas Sandwich .
2021/12/01 20:20:29 UTC.
App: https://t.co/RblVNxZYn8… https://t.co/mZJnn7U8V2"
2021-12-02 12:13:59,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:13:23,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:13:19,"Your new dancer, Smothered Earthquake"
2021-12-02 12:13:11,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:12:58,"RT @caption_king5: One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:12:16,"#Earthquake M3.7 Dodecanese Islands, Greece 3mins ago  2 Dec 12:08 UTC - report/info: 
https://t.co/QTvWEutWPy"
2021-12-02 12:11:53,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:11:34,RT @nicolibbybot: She rolled her eyes. “I know the difference between an earthquake and a Varona tantrum.”
2021-12-02 12:11:33,"Light mag. 4.4 earthquake - New Zealand on Thursday, December 2, 2021 at 11:54 (GMT) https://t.co/PxD5BNy792"
2021-12-02 12:11:23,"@sho0oryuken there's an earthquake in the area you are calling, your call cannot be considered at this time"
